uid,發布單位Publisher,關鍵字Keywords,表現型Phenotype,涵蓋範圍Coverage$區域空間Spatial,涵蓋範圍Coverage$物理樣本Physical_sample_availability,涵蓋範圍Coverage$隨訪期Follow_up,出處Provenance$目的Purpose,出處Provenance$來源Source,出處Provenance$蒐集情境Collection_situation,出處Provenance$週期計算Accrual_periodicity,出處Provenance$延遲Time_lag,存取權Access$交貨時間Delivery_lead_time,存取權Access$法律管轄權Jurisdiction,格式與標準Format_and_standards$詞彙編碼Vocabulary_encoding_scheme,格式與標準Format_and_standards$符合標準Conforms_to,格式與標準Format_and_standards$語言Language,數據效用Data_utility$文檔Documentation$其他文檔與支援Additional_documentation_and_support,數據效用Data_utility$文檔Documentation$數據模式Data_model,數據效用Data_utility$文檔Documentation$數據字典Data_dictionary,數據效用Data_utility$文檔Documentation$出處Provenance,數據效用Data_utility$質量技術Technical_quality$數據質量管理流程Data_Quality_Management_Process,數據效用Data_utility$訪問和提供Access_and_provision$允許的用途Allowable_uses,數據效用Data_utility$訪問和提供Access_and_provision$延遲Time_lag,數據效用Data_utility$訪問和提供Access_and_provision$時效性Timeliness,數據效用Data_utility$價值和利益Value_and_interest$連動性Linkages,數據效用Data_utility$價值和利益Value_and_interest$數據豐富度Data_Enrichments,數據效用Data_utility$涵蓋範圍Coverage$涵蓋的途徑Pathway_coverage,數據效用Data_utility$涵蓋範圍Coverage$隨訪時間Length_of_follow_up,元數據技術Technical_Metadata,商業用途Commercial_use,資料集標題,資料集來源,來源單位Logo,認證徽章,資料集Tag,摘要Abstract,資料集豐富度評分,觀看次數,數位物件識別碼DOI_for_元數據_not_paper,最新資料集發布日期Latest_dataset_release_date,發布頻率Publishing_frequency,創建日期Creation_Date,最後更新時間Last_updated,版本_Version,資源創建者單位Resource_creator,資料集延遲Dataset_time_lag,涵蓋區域Geographical_coverage,年齡區間Typical_age_range,物理樣本Physical_sample_availability,隨訪期Follow_up,途徑Pathway,語義註釋Semantic_Annotations,數據模型Data_models,語言Language,格式Format,目的Purpose,來源Source,蒐集情境Collection_situation,派生分化Derived_from,統計人口Statistical_population,人口描述Population_description,人口規模Population_size,測量屬性Measured_property,觀察日期Observation_date,訪問訊息Access_information,處裡時間Processing_time,訪問請求成本Access_request_cost,訪問環境Access_environment,管轄權Jurisdiction,限制Limitations,要求Requirements,數據控制者Data_Controller,數據處裡者Data_Processor,論文Papers,計畫項目Projects,工具Tools
49,RENAL ASSOCIATION,Acute Medicine,Alcohol Problems,SLaM provides comprehensive services to four south London boroughs (Croydon,Serum,0 - 6 Months,Financial,Epr,Home,Annual,Less 1 Week,1-2 Weeks,Gb-ea,Opcs4,Dicom,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented",Evidence that the data management plan has been implemented is available,Student / educational project,,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL",,Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,NIHR IBD BioResource: SNP chip data,RENAL ASSOCIATION,../../database.png,../../shield.png,Abdominal Pain,Details of completed (processed) COVID-19 antigen tests carried out in NHS hospitals in Northern Ireland.,51,9951,10.1016/j.envres.2014.07.074,01/08/2067,STATIC,01/11/2021,01/11/2021,1.0.49,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648196/great-britain.html,18-123,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2064 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD59",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53049,"Questionnaire, clinical measurements, cognitive tests",31/03/2064,https://police-health.org.uk/applying-access-resource,2-55 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2063).",https://police-health.org.uk/approved-research,Unrecognised dataset title
50,"RESEARCH AND INNOVATION AT NOTTINGHAM UNIVERSITY HOSPITALS, NHS TRUST",A&e,Alcoholic Liver Disease,Southwark) as well as specific national specialist services,Swabs,1 - 10 Years,Other,Freetext Nlp,In-patients,Biannual,More 6 Months,16 Weeks (8 Weeks For Committee Decision And 8 Weeks For Data Extraction And Processing),Gb-eaw,Other,Hl7 Ccow,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed","A documented data management plan covering collection, auditing, and management is available for the dataset",Charitable or non-profit project,Near real-time data,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,"The data include additional derived fields, or enriched data",Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,Optimum Patient Care Research Database (OPCRD),"RESEARCH AND INNOVATION AT NOTTINGHAM UNIVERSITY HOSPITALS, NHS TRUST",../../database.png,../../shield.png,Aberdeen,Details of completed (processed) COVID-19 antigen tests booked through the NHS-Digital portals.,50,9950,10.1016/j.envres.2014.07.075,01/08/2068,STATIC,01/11/2021,01/11/2021,1.0.50,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648197/great-britain.html,18-124,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2065 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD60",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53050,"Questionnaire, clinical measurements, cognitive tests",31/03/2065,https://police-health.org.uk/applying-access-resource,2-56 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2064).",https://police-health.org.uk/approved-research,Unrecognised dataset title
51,ROYAL COLLEGE OF GENERAL PRACTITIONERS,A&e Department,Allergic And Chronic Rhinitis,ttps://www.geonames.org/2635167/united-kingdom-of-great-britain-and-northern-ireland.html,Tissue,6 - 12 Months,Statutory,Lims,Other,Biweekly,No Timelag,2-4 Weeks,Gb-eng,Read,Hl7 Cda,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,"Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Commercial project,1 week,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,"The data include additional derived fields, or enriched data used by other available data sources",Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,SARS-CoV-2 viral sequencing data (COG-UK data) - Lineage/Variant Data - NI,ROYAL COLLEGE OF GENERAL PRACTITIONERS,../../database.png,../../shield.png,Abvd,Details of completed (processed) COVID-19 vaccinations,49,9949,10.1016/j.envres.2014.07.076,01/08/2069,STATIC,01/11/2021,01/11/2021,1.0.51,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648198/great-britain.html,18-125,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2066 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD61",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53051,"Questionnaire, clinical measurements, cognitive tests",31/03/2066,https://police-health.org.uk/applying-access-resource,2-57 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2065).",https://police-health.org.uk/approved-research,Unrecognised dataset title
52,SAIL,A&e Waiting Time,Alopecia Areata,UK,Urine,Continuous,Study,Machine Generated,Outpatients,Continuous,Not Applicable,2-6 Months,Gb-gb,Snomed Ct,Hl7 Fhir,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,Evidence that the data management plan has been implemented is available,Academic research,1 month,Less than 2 weeks,Existing linkage with reusable or downstream approvals,"The derived fields or enriched data were generated from, or used by, a peer reviewed algorithm",Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,Scottish Covid-19 Vaccination Data,SAIL,../../database.png,../../shield.png,Accelerometer,This is a record of primary care prescriptions that are submitted by community pharmacies in Northern Ireland to the Business Service Organisation for payment.,48,9948,10.1016/j.envres.2014.07.077,01/08/2070,STATIC,01/11/2021,01/11/2021,1.0.52,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648199/great-britain.html,18-126,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2067 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD62",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53052,"Questionnaire, clinical measurements, cognitive tests",31/03/2067,https://police-health.org.uk/applying-access-resource,2-58 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2066).",https://police-health.org.uk/approved-research,Unrecognised dataset title
53,SLAM,Abdominal,Alpha Blockers,United Kingdom,Whole Blood,Other,Trial,Other,Pharmacy,Daily,Other,Http://opcrd.co.uk/opcrd-data-request/,Gb-gbn,Snomed Rt,Https://www.cogconsortium.uk/protocols/,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented","A documented data management plan covering collection, auditing, and management is available for the dataset",Student / educational project,1 year,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL",The data includes derived fields or enriched data from a national report,Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,Active Adult Survey Dataset (AASD),SLAM,../../database.png,../../shield.png,Accelerometers,"The dataset is a longitudinal dataset consisting of eye images and retinopathy grades from those who are screened for diabetic retinopathy in the Birmingham, Solihull and Black Country DR screening program.",47,9947,10.1016/j.envres.2014.07.078,01/08/2071,STATIC,01/11/2021,01/11/2021,1.0.53,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648200/great-britain.html,18-127,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2068 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD63",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53053,"Questionnaire, clinical measurements, cognitive tests",31/03/2068,https://police-health.org.uk/applying-access-resource,2-59 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2067).",https://police-health.org.uk/approved-research,Unrecognised dataset title
54,THE UNIVERSITY OF CAMBRIDGE,Abdominal Mri,Alpha-blockers,United Kingdom and beyond,Not Available,> 10 Years,Administrative,Other Information System,Primary Care,In Progress,Variable,Less 1 Week,Gb-nir,Dm+d,I2b2,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed","Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Charitable or non-profit project,Near real-time data,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,,Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,CAFCASS Wales (CAFW),THE UNIVERSITY OF CAMBRIDGE,../../database.png,../../shield.png,Access,"The Airwave Health Monitoring Study (AHMS) is a long-term occupational observational cohort study and tissue bank following up the health of c. 53,000 police officers and staff across Great Britain.",46,9946,10.1016/j.envres.2014.07.079,01/08/2072,STATIC,01/11/2021,01/11/2021,1.0.54,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648201/great-britain.html,18-128,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2069 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD64",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53054,"Questionnaire, clinical measurements, cognitive tests",31/03/2069,https://police-health.org.uk/applying-access-resource,2-60 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2068).",https://police-health.org.uk/approved-research,Unrecognised dataset title
55,TISSUE DIRECTORY,Abdominal Pain,Amiodarone (M2),Wales,Other,0 - 6 Months,Audit,Paper Based,Private,Irregular,1-2 Months,More 6 Months,Gb-sct,Hpo,Local,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,Evidence that the data management plan has been implemented is available,Commercial project,1 week,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,"The data include additional derived fields, or enriched data",Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,COVID-19 Consolidated Deaths (CDDS),TISSUE DIRECTORY,../../database.png,../../shield.png,Accident,CSDS sets out national definitions for the extraction of data about children and adults: • personal and demographic • social and personal circumstances • breastfeeding and nutrition • care event and screening activity • diagnoses • scored assessments,45,9945,10.1016/j.envres.2014.07.080,01/08/2073,STATIC,01/11/2021,01/11/2021,1.0.55,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648202/great-britain.html,18-129,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2070 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD65",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53055,"Questionnaire, clinical measurements, cognitive tests",31/03/2070,https://police-health.org.uk/applying-access-resource,2-61 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2069).",https://police-health.org.uk/approved-research,Unrecognised dataset title
56,TWINS UK,Aberdeen,Anal Fissure,West Midlands,Peripheral Blood Cells,1 - 10 Years,Care,Freetext Nlp,Services,Monthly,1-2 Weeks,None,Gb-wls,Https://www.cogconsortium.uk/protocols/,Locally Negotiated Standard,Af,"As Gold, plus support personnel available to answer questions","Known and accepted data model, with some key fields uncoded",Dictionary is based on international standards and includes mapping,Dataset source documented,"A documented data management plan covering collection, auditing, and management is available for the dataset",Academic research,1 month,Less than 2 weeks,Existing linkage with reusable or downstream approvals,"The data include additional derived fields, or enriched data used by other available data sources",Contains data across more than two tiers,Between 1-6 months,Contains Technical Metadata,Consented for commercial uses,COVID-19 Shielded People List (CVSP),TWINS UK,../../database.png,../../shield.png,Accident & Emergency,NHS Digital’s fortnightly collection of GP data will provide data to support vital planning and research into coronavirus (COVID-19).,44,9944,10.1016/j.envres.2014.07.081,01/08/2074,STATIC,01/11/2021,01/11/2021,1.0.56,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648203/great-britain.html,18-130,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2071 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD66",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53056,"Questionnaire, clinical measurements, cognitive tests",31/03/2071,https://police-health.org.uk/applying-access-resource,2-62 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2070).",https://police-health.org.uk/approved-research,Unrecognised dataset title
57,UCLEB CONSORTIUM,Abvd,Anaphylaxis,West Midlands Region,Plasma,6 - 12 Months,Disease Registry,Lims,Community,Other,2-4 Weeks,Not Applicable,In,Icd10,Nhs Data Dictionary,En,"As Silver, plus dataset publication was supported with a journal article explaining the dataset in detail, or dataset training materials",Key fields coded using local standard,Dictionary relates to national definitions,"Dataset source, any transformations, rule and exclusions documented","Externally verified compliance with the data management plan, e.g. by ISO, CQC, ICO or other body",Student / educational project,1 year,Less than 1 month,"List of restrictions on the type of linkages detailed. List of previously successful dataset linkages performed, with navigable links to linked datasets via at DOI/URL","The derived fields or enriched data were generated from, or used by, a peer reviewed algorithm",Contains multimodal data or data that is linked across two tiers (e.g. primary and secondary care),Between 6-12 months,Contains Technical Metadata,Consented for commercial uses,COVID-19 Symptom Tracker Dataset (CVST),UCLEB CONSORTIUM,../../database.png,../../shield.png,Accident And Emergency,Patient-level data set that captures information about people in contact with services commissioned as part of the adult Improving Access to Psychological Services (IAPT) programme.,43,9943,10.1016/j.envres.2014.07.082,01/08/2075,STATIC,01/11/2021,01/11/2021,1.0.57,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648204/great-britain.html,18-131,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2072 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD67",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53057,"Questionnaire, clinical measurements, cognitive tests",31/03/2072,https://police-health.org.uk/applying-access-resource,2-63 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2071).",https://police-health.org.uk/approved-research,Unrecognised dataset title
58,UK BIOBANK,Accelerometer,Angina,West Yorkshire and Harrogate ICS,Pm Tissue,Continuous,Financial,Machine Generated,Home,Quarterly,2-6 Months,"Once We Have Accepted Your Application After Its Initial Review, The Application Is Subject To Our Service Levels. We Only Pause The Elapsed Time When We Require Further Detail, Such As A More Explicit Articulation Of The Purpose, Or When Approvals Are Required From An External Body (Such As Approved Researcher Status From Ons). Our Service Response Times, From The Date That The Application Is Accepted To The Date That You Sign The Agreement",My,Icd9,Nhs Scotland Data Dictionary,Af,"Comprehensive ReadMe describing extracting and use of data, Dataset FAQS available, Visual data model provided",Key fields coded using national/international standard,Definitions compiled into local data dictionary which is available online,"All original data items, transformations, rules, exclusions and impact listed",Evidence that the data management plan has been implemented is available,Charitable or non-profit project,Near real-time data,Less than 3 months,Available linkages outlined and/or List of datasets previously successfully linked provided,The data includes derived fields or enriched data from a national report,Contains data from multiple specialties or services within a single tier of care,Between 1-10 years,Contains Technical Metadata,Consented for commercial uses,COVID-19 Test Results (PATD),UK BIOBANK,../../database.png,../../shield.png,Abdominal,Details of completed (processed) COVID-19 antigen tests carried out in NHS hospitals in Northern Ireland.,42,9942,10.1016/j.envres.2014.07.083,01/08/2076,STATIC,01/11/2021,01/11/2021,1.0.58,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648205/great-britain.html,18-132,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2073 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD68",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53058,"Questionnaire, clinical measurements, cognitive tests",31/03/2073,https://police-health.org.uk/applying-access-resource,2-64 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2072).",https://police-health.org.uk/approved-research,Unrecognised dataset title
59,UK LONGITUDINAL LINKAGE COLLABORATION (UK LLC),Accelerometers,Angiodysplasia Of Colon,Worldwide,Primary Cells,Other,Other,Other,In-patients,Semiweekly,6 Months Plus,Other,Pk,Icdo3,Nhs Wales Data Dictionary,En,Past journal articles demonstrate that knowledge of the data exists,Model conforms to national standard and key fields coded to national/international standard,Data definitions available,Earlier and 'raw' versions and the impact of each stage of data cleaning,"A documented data management plan covering collection, auditing, and management is available for the dataset",Commercial project,1 week,Less than 6 months,Identifiers to demonstrate ability to link to other datasets,,Contains data from a single speciality or area,More than 10 years,Contains Technical Metadata,Consented for commercial uses,CPRD COVID-19 Symptoms and Risk Factors Synthetic Dataset,UK LONGITUDINAL LINKAGE COLLABORATION (UK LLC),../../database.png,../../shield.png,Abdominal Mri,Details of completed (processed) COVID-19 antigen tests booked through the NHS-Digital portals.,41,9941,10.1016/j.envres.2014.07.084,01/08/2077,STATIC,01/11/2021,01/11/2021,1.0.59,The Airwave Health Monitoring Study,NOT APPLICABLE,https://www.geonames.org/2648206/great-britain.html,18-133,"PLASMA , SERUM , DNA , AVAILABILITY TO BE CONFIRMED","The Airwave Health Monitoring Study is a cohort study including c. 53,000 police officers and staff from Great Britain. Participants were recruited at baseline study between 2004-2074 and followed up through health screening visits, questionnaire and medical records.",,"ICD9 , ICD69",LOCAL,en,"text , tab-separted-values , csv",STUDY,"ELECTRONIC SURVEY , PAPER BASED , MACHINE GENERATED , OTHER",CLINIC,,PERSONS,,53059,"Questionnaire, clinical measurements, cognitive tests",31/03/2074,https://police-health.org.uk/applying-access-resource,2-65 MONTHS,https://police-health.org.uk/applying-access-resource,"Using Dementia Platform UK's data portal, any bona fide researcher can apply to access data from the Airwave Health Monitoring Study by completing an online application form including: information about the applicant(s), project details, technical specification, data categories requested, and scientific context.","GB-ENG , GB-WLS , GB-SCT",GENERAL RESEARCH USE,USER SPECIFIC RESTRICTION,Imperial College London is the sole data controller for data collected from the Airwave Health Monitoring Study.,Not specified,"Elliott, P. et al. The Airwave Health Monitoring Study of police officers and staff in Great Britain: rationale, design and methods. Environ Res 134, 280-285, doi:10.1016/j.envres.2014.07.025 (2073).",https://police-health.org.uk/approved-research,Unrecognised dataset title
